Bootstrap: [-0.2118, 0.1328]
Exact:     [-0.1960, 0.1960]

Bootstrap: [0.0399, 0.4592]
Bootstrap: [-0.1176, 0.3008]
Bootstrap: [-0.0940, 0.3655]
Bootstrap: [-0.2211, 0.1895]
Bootstrap: [-0.1069, 0.3036]
Bootstrap: [-0.1451, 0.2747]
Bootstrap: [-0.0678, 0.3218]
Bootstrap: [-0.2437, 0.1146]
Bootstrap: [-0.2656, 0.1250]
Bootstrap: [-0.1463, 0.3052]
Averages:  [-0.1368, 0.2760]
Bootstrap: [-0.2767, 0.1071]
Exact:     [-0.1960, 0.1960]
Bootstrap: [1.0000, 1.0000]
Exact:     [-0.1960, 0.1960]

Bootstrap: [-0.3551, 0.1422]
Bootstrap: [-0.1337, 0.2634]
Bootstrap: [-0.1886, 0.2312]
Bootstrap: [-0.1930, 0.1468]
Bootstrap: [-0.2335, 0.1840]
Bootstrap: [-0.2048, 0.1350]
Bootstrap: [-0.1348, 0.2583]
Bootstrap: [-0.0755, 0.2712]
Bootstrap: [-0.2553, 0.0777]
Bootstrap: [-0.2849, 0.1487]
Averages:  [-0.2059, 0.1859]
Bootstrap: [-0.0710, 0.3531]
Exact:     [-0.1960, 0.1960]
Bootstrap: [1.0000, 1.0000]
Exact:     [-1.0000, 1.0000]

Bootstrap: [-0.3134, 0.0917]
Bootstrap: [-0.1228, 0.2509]
Bootstrap: [-0.2844, 0.1131]
Bootstrap: [-0.2542, 0.1304]
Bootstrap: [-0.0952, 0.2822]
Bootstrap: [-0.2162, 0.1681]
Bootstrap: [-0.2861, 0.1241]
Bootstrap: [-0.1807, 0.2102]
Bootstrap: [-0.1792, 0.1825]
Bootstrap: [0.0060, 0.4491]
Averages:  [-0.1926, 0.2002]
Bootstrap: [-0.3087, 0.0722]
Exact:     [-0.1960, 0.1960]

Bootstrap: [1.0000, 1.0000]
Exact:     [-1.0000, 1.0000]

Bootstrap: [-0.2372, 0.1323]
Bootstrap: [-0.1349, 0.2508]
Bootstrap: [-0.3101, 0.0237]
Bootstrap: [-0.1895, 0.1830]
Bootstrap: [-0.1376, 0.2535]
Bootstrap: [-0.2031, 0.2093]
Bootstrap: [-0.2626, 0.1586]
Bootstrap: [-0.2642, 0.1158]
Bootstrap: [-0.2710, 0.0944]
Bootstrap: [-0.2762, 0.0944]
Averages:  [-0.2286, 0.1516]
Bootstrap: [-0.2900, 0.0878]
Exact:     [-0.1960, 0.1960]

Bootstrap: [1.0000, 1.0000]
Exact:     [1.0000, 1.0000]

Bootstrap: [-1.3048, -1.0965]
Bootstrap: [-0.6265, -0.0902]
Bootstrap: [-0.1220, -0.0020]
Bootstrap: [-0.8690, -0.7612]
Bootstrap: [-0.1605, -0.8501]
Bootstrap: [-0.2905, -1.0309]
Bootstrap: [0.0205, -0.6002]
Bootstrap: [-0.5042, -0.5759]
Bootstrap: [-0.3629, -1.1516]
Bootstrap: [0.2341, -0.4243]
Bootstrap: [-0.8474, -0.8282]
Bootstrap: [-0.6766, -0.9675]
Bootstrap: [-0.2403, 0.1828]
Bootstrap: [-0.6273, -0.6422]
Bootstrap: [-0.5465, -0.2798]
Bootstrap: [-0.0896, -0.5197]
Bootstrap: [-0.2717, -0.0931]
Bootstrap: [-0.1930, -0.4934]
Bootstrap: [-0.7167, -0.6118]
Bootstrap: [-0.6942, -0.2091]
Bootstrap: [-0.5648, -0.6174]
Bootstrap: [-0.9436, -0.5582]
Bootstrap: [-1.2645, -0.3541]
Bootstrap: [-0.8358, -0.6628]
Bootstrap: [-0.2603, 0.2724]
Bootstrap: [-0.0049, -0.6562]
Bootstrap: [-0.4636, -0.8404]
Bootstrap: [-0.3478, 0.1032]
Bootstrap: [-0.3989, 0.0112]
Bootstrap: [-1.1131, -0.4468]
Bootstrap: [-0.1455, -0.6416]
Bootstrap: [-0.8142, -0.4433]
Bootstrap: [-0.1245, -0.6486]
Bootstrap: [-0.5321, -0.5646]
Bootstrap: [-0.3377, -0.9825]
Bootstrap: [-0.3392, -0.3132]
Bootstrap: [-0.7421, -0.3360]
Bootstrap: [-0.7484, -0.8199]
Bootstrap: [-0.3795, -0.3271]
Bootstrap: [-0.6900, -0.4535]
Bootstrap: [0.1831, -0.4708]
Bootstrap: [-0.0409, -0.4504]
Bootstrap: [-0.5638, -0.3333]
Bootstrap: [-0.4888, -0.8832]
Bootstrap: [-0.6263, -0.9218]
Bootstrap: [-0.4561, -1.2863]
Bootstrap: [-0.7510, -0.6418]
Bootstrap: [-0.6044, -0.3687]
Bootstrap: [-0.6099, -0.7218]
Bootstrap: [-0.6274, -0.3540]
Bootstrap: [-0.0012, -0.2423]
Bootstrap: [0.2047, 0.8052]
Bootstrap: [0.4608, 1.0435]
Bootstrap: [0.5151, 0.3025]
Bootstrap: [0.8083, 0.0794]
Bootstrap: [0.5256, 0.2987]
Bootstrap: [0.6829, 0.9067]
Bootstrap: [0.7803, 0.5604]
Bootstrap: [0.7029, 0.1224]
Bootstrap: [0.9137, 0.7421]
Bootstrap: [1.0519, 0.2625]
Bootstrap: [0.2273, 0.4463]
Bootstrap: [1.0989, 1.2945]
Bootstrap: [0.5619, 0.5276]
Bootstrap: [0.3577, 0.6861]
Bootstrap: [0.7477, 0.2458]
Bootstrap: [0.5439, 1.0986]
Bootstrap: [0.6420, 0.5460]
Bootstrap: [0.4327, 0.3749]
Bootstrap: [0.4611, 0.6225]
Bootstrap: [0.3500, 0.6292]
Bootstrap: [0.4925, 0.5435]
Bootstrap: [0.0771, 0.7682]
Bootstrap: [0.2740, 0.1753]
Bootstrap: [0.8073, 1.3479]
Bootstrap: [0.7910, 0.4393]
Bootstrap: [0.6608, -0.1530]
Bootstrap: [0.6980, 0.8886]
Bootstrap: [0.5674, 1.1417]
Bootstrap: [0.2003, 1.1464]
Bootstrap: [0.7175, 0.3918]
Bootstrap: [0.2205, 0.3540]
Bootstrap: [0.7084, 0.6904]
Bootstrap: [0.2827, 0.6495]
Bootstrap: [0.7068, 0.4952]
Bootstrap: [1.1564, 0.6893]
Bootstrap: [0.5634, 0.8544]
Bootstrap: [0.5056, 0.3881]
Bootstrap: [0.9186, 1.1569]
Bootstrap: [0.8818, 1.0879]
Bootstrap: [0.9851, 0.6877]
Bootstrap: [0.9427, 0.8960]
Bootstrap: [0.2337, 0.7233]
Bootstrap: [0.4545, 0.3203]
Bootstrap: [0.4176, -0.0124]
Bootstrap: [0.7018, 0.5242]
Bootstrap: [0.1723, 0.6800]
